Id,SalePrice
2658,184851.15512343185
2718,147402.14133696794
2414,241373.7896678126
1989,122849.62452794058
625,163671.7143739277
333,69322.28152441644
1327,84222.2828380166
858,124572.1420356704
95,210815.96928590603
1568,187061.64430110602
2482,180427.92805071056
1364,158499.66441599224
2584,167741.89281908554
818,264816.4606250153
2673,168702.09513736315
2089,124063.93190936893
1297,188579.5285278914
790,125213.0264869798
2616,188579.5285278914
720,259282.6776697005
222,122233.47596773435
557,122802.40146310726
1148,182310.10449192443
2766,190550.63313358094
534,202526.1765185262
1452,119836.34324809993
630,115194.88774700297
2648,123929.00886698798
125,162097.61221281686
1904,34324.36967453931
1670,81577.79120735047
756,79104.2020970335
717,207237.23941499347
1032,126177.72624000342
852,228020.905906847
1731,232603.79191305247
2639,77485.1255884624
2071,85310.66204655604
1267,123686.14739070233
1851,219374.58760760273
567,173178.0632401088
2439,228128.8443407518
1898,120304.07646168713
647,136429.62874358072
2256,212028.0279499614
979,68519.48942224993
1444,228209.79816618035
2485,121230.54801936948
157,116886.02605470369
88,120555.93280746485
2003,124916.19579374176
186,283753.0124663713
1425,262544.33839101787
2695,119881.31759556025
738,117182.85674794173
395,160141.22809829345
1353,223420.03016165746
1878,125060.11370561476
390,227760.05469157724
1456,226109.4961397839
1103,267783.8498701438
1387,132699.00662174812
2070,134655.39073627154
1199,210958.86666733402
2479,180378.45626850417
501,265703.7863001046
2362,83343.03434516757
1718,151085.64323716037
2188,36055.882051761175
1483,152261.72242324744
2557,78170.9843872321
437,293931.93548356707
2224,199617.4615815791
1628,227161.89587035516
397,122827.13735421043
587,182495.72750343967
971,152600.15537293456
2611,163694.2015476578
1887,122442.60668342479
2399,313492.4025676934
2148,222585.75601626877
304,162862.17611964213
1997,111785.93505270474
2817,106793.67964141734
1431,193072.46583917624
427,270097.78004697664
263,120510.95846000456
598,201397.21755407934
2895,279013.9444309828
687,160442.55622627752
1822,121136.10188970284
2191,91532.86301768973
179,157825.0492040876
1009,252033.83338954384
2010,139448.4279886124
1991,164487.9987803323
1411,125213.0264869798
1721,251851.68728232957
1144,183295.0427013052
593,260419.3004735183
575,274572.7276192773
1249,196337.60346479467
1604,119321.38696967938
